Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ths-greifswald.ttp-fhir-gw.dispatcher.json	14777	-	0	0	0	0	0	0	8	73	0	0	0	0	0	0	0	0	0	0	95	146	0	0	0	7	0	0
fsh-generated/resources/Bundle-PseudonymizePatient-Bundle-request-example-1.json	3957	5	11	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	13	24	0	0	0	0	0	0
fsh-generated/resources/Bundle-PseudonymizePatient-Bundle-response-example-1.json	3305	5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	12	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-BloomfilterTypeCS.json	955	2	0	0	0	0	1	0	1	24	0	0	0	0	0	0	0	0	0	0	10	519	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ConsentComponentTypeCS.json	1131	1	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	14	65	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-ConsentPolicyActionCS.json	12089	4	0	0	0	0	0	0	3	26	0	0	0	0	0	0	0	0	0	0	27	107	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-ConsentPolicyActorCS.json	3078	2	0	0	1	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	13	87	0	0	0	0	0	1
fsh-generated/resources/CodeSystem-ConsentPolicyClassCS.json	12272	3	0	0	0	0	0	0	3	24	0	0	0	0	0	0	0	0	0	0	27	62	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-ConsentPolicyPurposeCS.json	26682	6	0	0	0	0	0	0	4	30	0	0	0	0	0	0	0	1	0	0	55	128	0	0	0	2	0	0
fsh-generated/resources/CodeSystem-ConsentStatusCS.json	4784	3	0	0	0	0	0	0	1	22	0	0	0	0	0	0	0	0	0	0	22	38	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-DesignationUseCS.json	1038	2	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	9	31	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-IdMatchingTypeCS.json	1043	1	0	0	1	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	9	29	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-IdatElementsCS.json	1937	2	0	0	0	0	0	0	1	21	0	0	0	0	0	0	0	0	0	0	11	33	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-MatchStatusCS.json	1463	2	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	10	30	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-PolicyCS.json	13174	3	0	0	0	0	0	0	1	11	0	0	0	0	0	0	0	0	0	0	47	58	0	0	0	3	0	0
